"운영차량","해당연월","배차위치","작업경로","운행거리(km)","작업거리(km)","미세먼지 제거량(kg)"
"D","2020-04","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1801","1070","469.6"
"D","2020-05","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1404","847","338.92"
"D","2020-06","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1427","841","430"
"D","2020-07","유성구","유성구(유성온천역네거리 ~ 상대네거리 ~ 도안지하차도, 유성생명과학고 ~ 도시철도공사, 반석 ~ 월드컵경기장 ~ 자운대네거리)","1181","653","384.07"
"E","2019-06","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1513","622","418.68"
"E","2019-07","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1576","832","376.64"
"E","2019-08","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1673","893","378.42"
"E","2019-09","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1181","632","332.8"
"E","2019-10","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1674","967","265.15"
"E","2019-11","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1646","919","243.61"
"E","2019-12","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1473","803","201.82"
"E","2020-01","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1417","813","385.15"
"E","2020-02","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1290","755","268.96"
"E","2020-03","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1334","778","256.24"
"E","2020-04","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1776","1062","464.14"
"E","2020-05","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1505","871","339.89"
"E","2020-06","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1426","807","493.72"
"E","2020-07","대덕구, 서구","대덕구(동부네거리 ~ 오정네거리 ~ 한밭대로 ~ 갑천대교네거리), 서구(읍내삼거리 ~ 한남오거리, 용전네거리 ~ 읍내삼거리)","1155","633","388.08"
"F","2019-06","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1402","555","462.48"
"F","2019-07","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1559","841","712.91"
"F","2019-08","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1730","937","538.44"
"F","2019-09","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1242","669","356.14"
"F","2019-10","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1683","938","1003.01"
"F","2019-11","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1804","979","1103.89"
"F","2019-12","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1456","759","914.14"
"F","2020-01","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1390","795","766.92"
"F","2020-02","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1295","747","583.31"
"F","2020-03","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1590","922","1104.38"
"F","2020-04","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1686","999","1203.04"
"F","2020-05","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1368","795","625.05"
"F","2020-06","대전산단","대전산단(대전산업단지, 갑천고속화도로 ~ 만년교네거리)","1365","799","538.22"
